[1772590008] [apply_action] freq=1 Hz, last_dt=2461 us
[1772590009] [apply_action] freq=501 Hz, last_dt=2015 us
[1772590010] [apply_action] freq=501 Hz, last_dt=1994 us
[1772590011] [apply_action] freq=500 Hz, last_dt=2028 us
[1772590012] [apply_action] freq=501 Hz, last_dt=2053 us
[1772590013] [apply_action] freq=501 Hz, last_dt=1997 us
[1772590014] [apply_action] freq=500 Hz, last_dt=1956 us
[1772590015] [apply_action] freq=501 Hz, last_dt=1988 us
[1772590016] [apply_action] freq=500 Hz, last_dt=1976 us
[1772590017] [apply_action] freq=500 Hz, last_dt=1970 us
[1772590018] [apply_action] freq=501 Hz, last_dt=2017 us
[1772590019] [apply_action] freq=501 Hz, last_dt=2031 us
[1772590020] [apply_action] freq=501 Hz, last_dt=1993 us
[1772590021] [apply_action] freq=500 Hz, last_dt=1890 us
[1772590022] [apply_action] freq=501 Hz, last_dt=1974 us
[1772590023] [apply_action] freq=500 Hz, last_dt=2000 us
[1772590024] [apply_action] freq=500 Hz, last_dt=2024 us
[1772590025] [apply_action] freq=501 Hz, last_dt=2000 us
[1772590026] [apply_action] freq=501 Hz, last_dt=2007 us
[1772590027] [apply_action] freq=501 Hz, last_dt=2038 us
[1772590028] [apply_action] freq=500 Hz, last_dt=2197 us
[1772590029] [apply_action] freq=501 Hz, last_dt=2099 us
[1772590030] [apply_action] freq=501 Hz, last_dt=1970 us
[1772590031] [apply_action] freq=501 Hz, last_dt=2012 us
[1772590032] [apply_action] freq=500 Hz, last_dt=1988 us
[1772590033] [apply_action] freq=500 Hz, last_dt=2036 us
[1772590034] [apply_action] freq=501 Hz, last_dt=1987 us
[1772590035] [apply_action] freq=501 Hz, last_dt=1992 us
[1772590036] [apply_action] freq=500 Hz, last_dt=2034 us
[1772590037] [apply_action] freq=501 Hz, last_dt=1991 us
[1772590038] [apply_action] freq=501 Hz, last_dt=2017 us
[1772590039] [apply_action] freq=501 Hz, last_dt=1990 us
[1772590040] [apply_action] freq=500 Hz, last_dt=2014 us
[1772590041] [apply_action] freq=501 Hz, last_dt=2031 us
